2022-08-17 22:48:49.041056	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&perturbed=false&assay_title=long+read+RNA-seq&replicates.library.biosample.donor.organism.scientific_name=Mus+musculus&lab.title=Ali+Mortazavi%2C+UCI&status=released&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR964OKW/	ENCSR964OKW	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J gastrocnemius tissue male (4 days)	gastrocnemius		ENC4_381a, ENC4_382a B6Cast F1 PND4_Male Gastrocnemius	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF109LCM/,/files/ENCFF798HCT/,/files/ENCFF721SGX/,/files/ENCFF069POP/,/files/ENCFF541JWV/,/files/ENCFF362LGG/,/files/ENCFF643TDK/,/files/ENCFF901VQH/,/files/ENCFF821NRP/,/files/ENCFF564ISY/,/files/ENCFF345NER/,/files/ENCFF590BCU/		ENCBS659ATN,ENCBS895ZIH	2,1	1		Mus musculus	unknown	4 days												/replicates/ddb0bda9-17d5-474e-96ce-9f551abd2912/,/replicates/1e07989c-8e0c-42af-badf-5479709bb48d/				
/experiments/ENCSR907NKV/	ENCSR907NKV	long read RNA-seq	long read RNA-seq				Mus musculus myotube	myotube		C2C12 myotube	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF669LWV/,/files/ENCFF003OWX/,/files/ENCFF699KOR/,/files/ENCFF202MCY/,/files/ENCFF989OFS/,/files/ENCFF396UFT/,/files/ENCFF731HHB/,/files/ENCFF208IUW/,/files/ENCFF903EDB/,/files/ENCFF530FQL/		ENCBS606QKU,ENCBS373BHL	2,1	1		Mus musculus	unknown													/replicates/fabab56e-35be-41ae-9318-5e506e59a89e/,/replicates/073a5a8a-3f4d-448f-bdd4-e0d6fbb0a7e8/				
/experiments/ENCSR530ZLE/	ENCSR530ZLE	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue female (14 days)	adrenal gland		ENC4_225 - B6Cast F1 PND14_3x Females 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF435KPO/,/files/ENCFF266GHR/,/files/ENCFF580GPD/,/files/ENCFF671OCJ/,/files/ENCFF402PHJ/,/files/ENCFF026LZW/,/files/ENCFF777NDJ/,/files/ENCFF457ZLE/,/files/ENCFF704NBV/,/files/ENCFF094ZZY/,/files/ENCFF766SDP/,/files/ENCFF786ONI/		ENCBS403EIL,ENCBS232UIC	1,2	1		Mus musculus	unknown	14 days												/replicates/5b5cedd0-02d7-4d76-a8ea-61bfe518ba72/,/replicates/098eb1f6-27e6-4a75-b12d-1e7202ec826c/				
/experiments/ENCSR818JQK/	ENCSR818JQK	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J gastrocnemius tissue female (25 days)	gastrocnemius		ENC4_395a, ENC4_396a B6Cast F1 PND25_ Female Gastrocnemius	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF640HNB/,/files/ENCFF837UMP/,/files/ENCFF058LLA/,/files/ENCFF556BPF/,/files/ENCFF402JSQ/,/files/ENCFF951RWG/,/files/ENCFF871UCZ/,/files/ENCFF481DML/,/files/ENCFF471VHL/,/files/ENCFF799QVH/,/files/ENCFF532WXY/,/files/ENCFF276PQU/		ENCBS508VOV,ENCBS549WDN	1,2	1		Mus musculus	unknown	25 days												/replicates/a73bad1c-6e6b-49ea-808f-4458ec9424c4/,/replicates/7533052b-8b06-429b-897d-5d76085f4a9a/				
/experiments/ENCSR909NPF/	ENCSR909NPF	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J layer of hippocampus tissue female (2 months)	layer of hippocampus		ENC4_437, ENC4_438 hippocampus_B6Cast F1_2 months_female_6_ENC4_cDNA510	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF837YGC/,/files/ENCFF223JJA/,/files/ENCFF048ORD/,/files/ENCFF326JTG/,/files/ENCFF254PCW/,/files/ENCFF651GOK/,/files/ENCFF318PEQ/,/files/ENCFF337TQR/,/files/ENCFF987ICP/,/files/ENCFF212YBY/,/files/ENCFF039HPE/,/files/ENCFF820ZWO/		ENCBS912RBR,ENCBS422YFH	2,1	1		Mus musculus	unknown	2 months												/replicates/d3cdc893-ee11-476c-a2b6-0a905a1ea149/,/replicates/0a87870e-2a3c-4c0e-961e-990c72bbe0d1/				
/experiments/ENCSR698DOB/	ENCSR698DOB	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue male (10 days)	adrenal gland		ENC4_219 - B6Cast F1 PND10_Male 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF303OLU/,/files/ENCFF762CPK/,/files/ENCFF856RHM/,/files/ENCFF159OEQ/,/files/ENCFF997AID/,/files/ENCFF040WLR/,/files/ENCFF676ASW/,/files/ENCFF674HLT/,/files/ENCFF555CHX/,/files/ENCFF261QFC/,/files/ENCFF336YOF/,/files/ENCFF206GTT/		ENCBS588OTO,ENCBS368WXW	1,2	1		Mus musculus	unknown	10 days												/replicates/504de773-1c64-44da-810f-6ec64f6346ed/,/replicates/3d87e6b0-2a3c-4ccf-92c7-922a8045502a/				
/experiments/ENCSR852HRM/	ENCSR852HRM	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue female (2 months)	adrenal gland		ENC4_237 - B6Cast F1 PND 2 months_Female 03 _Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF429RCV/,/files/ENCFF309RFX/,/files/ENCFF451RBQ/,/files/ENCFF387GTW/,/files/ENCFF014FXL/,/files/ENCFF242QIP/,/files/ENCFF660EKE/,/files/ENCFF291MJO/,/files/ENCFF685SKU/,/files/ENCFF666CDL/,/files/ENCFF560FEL/,/files/ENCFF442CVB/		ENCBS393LTW,ENCBS838VBH	1,2	1		Mus musculus	unknown	2 months												/replicates/a42b6885-c27f-4499-8881-27f887304f2a/,/replicates/ab294e15-e0e5-4acd-b2f0-b972b8f819b9/				
/experiments/ENCSR271ULH/	ENCSR271ULH	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue female (4 days)	adrenal gland		ENC4_217 - B6Cast F1 PND4_Female 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF977AQV/,/files/ENCFF474BPP/,/files/ENCFF626SLN/,/files/ENCFF116LNM/,/files/ENCFF983CFK/,/files/ENCFF402MIP/,/files/ENCFF106PGY/,/files/ENCFF146STA/,/files/ENCFF633GXD/,/files/ENCFF848AWY/,/files/ENCFF248ZUS/,/files/ENCFF358LAP/		ENCBS886BLQ,ENCBS118MVG	1,2	1		Mus musculus	unknown	4 days												/replicates/6acd5dd9-ba47-42ad-ac23-873aae344adc/,/replicates/40d7ba01-e5bc-479e-a8a7-3eb24b44ac23/				
/experiments/ENCSR454ECK/	ENCSR454ECK	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue male (14 days)	adrenal gland		ENC4_223 - B6Cast F1 PND14_3x Males 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF836THV/,/files/ENCFF134FFO/,/files/ENCFF970IHS/,/files/ENCFF517MJV/,/files/ENCFF800KCU/,/files/ENCFF950FUU/,/files/ENCFF379DRK/,/files/ENCFF191WUS/,/files/ENCFF817DYN/,/files/ENCFF495FTY/,/files/ENCFF485SLV/,/files/ENCFF871HGK/		ENCBS479RMT,ENCBS361GTM	1,2	1		Mus musculus	unknown	14 days												/replicates/5197e254-fcca-4fbf-850b-b371cc75421e/,/replicates/444f9b6c-72d5-4f82-b94f-305c8a4be908/				
/experiments/ENCSR084MKR/	ENCSR084MKR	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue female (36 days)	adrenal gland		ENC4_233 - B6Cast F1 PND36_Female 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF100OAR/,/files/ENCFF033SWF/,/files/ENCFF604SVZ/,/files/ENCFF511EBW/,/files/ENCFF010MHD/,/files/ENCFF898YPG/,/files/ENCFF083AGY/,/files/ENCFF399RPQ/,/files/ENCFF222VGG/,/files/ENCFF451OJM/,/files/ENCFF972YXU/,/files/ENCFF725NKO/		ENCBS681BGW,ENCBS668OIM	1,2	1		Mus musculus	unknown	36 days												/replicates/a508e6b7-ff9e-429c-989d-a8668c36c00f/,/replicates/f7255ac8-1dc8-4f5b-ad86-74b532b38a45/				
/experiments/ENCSR791JQO/	ENCSR791JQO	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J left cerebral cortex tissue male (14 days)	left cerebral cortex		ENC4_453, ENC4_454 B6Cast F1 PND14 3x Males 03 L. cortex	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF322BTB/,/files/ENCFF100UBG/,/files/ENCFF823WDR/,/files/ENCFF812RTU/,/files/ENCFF254GFU/,/files/ENCFF832GTM/,/files/ENCFF777UGV/,/files/ENCFF849AKV/,/files/ENCFF769YZL/,/files/ENCFF125MOK/,/files/ENCFF816VUM/,/files/ENCFF708ASP/		ENCBS233WUB,ENCBS993UDC	2,1	1		Mus musculus	unknown	14 days												/replicates/fce4eb8a-fe21-495d-8a26-213a2925f133/,/replicates/306e2daf-9a32-4327-84cc-b4f0068f1db9/				
/experiments/ENCSR754VEZ/	ENCSR754VEZ	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J gastrocnemius tissue female (10 days)	gastrocnemius		ENC4_387a, ENC4_388a B6Cast F1 PND10_Female Gastrocnemius	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF707EKH/,/files/ENCFF337DWM/,/files/ENCFF269FYE/,/files/ENCFF696VVK/,/files/ENCFF691USV/,/files/ENCFF775FEC/,/files/ENCFF293HRQ/,/files/ENCFF326GVC/,/files/ENCFF221IAN/,/files/ENCFF790IBF/,/files/ENCFF508QFT/,/files/ENCFF496IBH/		ENCBS927BKO,ENCBS900JGS	1,2	1		Mus musculus	unknown	10 days												/replicates/09a7fd09-961e-4666-824c-e16a9ea11c50/,/replicates/bce264a8-4158-4c4f-aec0-74103709959a/				
/experiments/ENCSR242UEB/	ENCSR242UEB	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue male (36 days)	adrenal gland		ENC4_231 B6Cast F1 PND36_ Male 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF396AJK/,/files/ENCFF988MZV/,/files/ENCFF875JYA/,/files/ENCFF549DGV/,/files/ENCFF501YNI/,/files/ENCFF806YCM/,/files/ENCFF297ZHK/,/files/ENCFF852UAU/,/files/ENCFF012CDD/,/files/ENCFF057KCX/,/files/ENCFF981JAQ/,/files/ENCFF758WHV/		ENCBS758KRR,ENCBS414TUZ	1,2	1		Mus musculus	unknown	36 days												/replicates/308984eb-288e-4b22-94b9-e1db17594645/,/replicates/46a71b29-bf4b-4caf-8663-281040446778/				
/experiments/ENCSR665XLM/	ENCSR665XLM	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue female (10 days)	adrenal gland		ENC4_221 - B6Cast F1 PND10_Female 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF863AGD/,/files/ENCFF391CPH/,/files/ENCFF321AJK/,/files/ENCFF815DRE/,/files/ENCFF276HLF/,/files/ENCFF550NPJ/,/files/ENCFF018CWD/,/files/ENCFF218PAQ/,/files/ENCFF815TTD/,/files/ENCFF556CPB/,/files/ENCFF756SOZ/,/files/ENCFF047XSD/		ENCBS824HLN,ENCBS622FYD	1,2	1		Mus musculus	unknown	10 days												/replicates/bc44c800-22c0-4ac6-a36d-d3646ec47401/,/replicates/429d20c9-b7e0-4513-85a0-d37ce0f39297/				
/experiments/ENCSR885NRP/	ENCSR885NRP	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue male (18-20 months)	adrenal gland		ENC4_239 B6Cast F1 PND 18-20 months_Male 03_Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF953PDM/,/files/ENCFF811RRD/,/files/ENCFF527XYZ/,/files/ENCFF153SUM/,/files/ENCFF167IJD/,/files/ENCFF684SLZ/		ENCBS999WBI	1	1		Mus musculus	unknown	18-20 months												/replicates/26b92347-cda6-4b41-950f-29c38ee8ac80/				
/experiments/ENCSR628IMW/	ENCSR628IMW	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J left cerebral cortex tissue male adult (18-20 months)	left cerebral cortex		ENC4_469, ENC4_470 B6Cast F1 PND 18-20 months Female 03 L. cortex	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF188URJ/,/files/ENCFF565RLW/,/files/ENCFF140SND/,/files/ENCFF325BXV/,/files/ENCFF368FAO/,/files/ENCFF691BND/,/files/ENCFF578NAL/,/files/ENCFF315DLM/,/files/ENCFF864JUM/,/files/ENCFF340NTJ/,/files/ENCFF851BOA/,/files/ENCFF603QTD/		ENCBS321KXV,ENCBS972OCB	2,1	1		Mus musculus	adult	18-20 months												/replicates/9c11648f-28d6-44df-99a0-e3e65d2aee71/,/replicates/eedf5278-ca8d-4c14-8fd7-41ae6328237c/				
/experiments/ENCSR309XOR/	ENCSR309XOR	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J adrenal gland tissue female (18-20 months)	adrenal gland		ENC4_240 - B6Cast F1 PND 18-20 months_Female 03 _Adrenals	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF169PFY/,/files/ENCFF142NQU/,/files/ENCFF142VQP/,/files/ENCFF406KAE/,/files/ENCFF416OPW/,/files/ENCFF745YKM/,/files/ENCFF843IRW/,/files/ENCFF331LQP/,/files/ENCFF125RCP/,/files/ENCFF554MFV/,/files/ENCFF540ZRA/,/files/ENCFF941ZTS/		ENCBS180MQS,ENCBS703MDQ	1,2	1		Mus musculus	unknown	18-20 months												/replicates/803e0077-7a45-4922-af2a-5368325b4ddd/,/replicates/bf6868b8-7023-4f8c-81ad-3a4a09834a81/				
/experiments/ENCSR187TGD/	ENCSR187TGD	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J heart tissue female (14 days)	heart		ENC4_483, ENC4_484 heart_B6Cast F1 PND14 3x Females 03 heart_ENC4_cDNA595, cDNA_596	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF356CMR/,/files/ENCFF885OVT/,/files/ENCFF718LUW/,/files/ENCFF484VDN/,/files/ENCFF079VYU/,/files/ENCFF014ZHD/,/files/ENCFF703PQX/,/files/ENCFF890XGT/,/files/ENCFF245XSW/,/files/ENCFF951AXN/,/files/ENCFF746BSO/,/files/ENCFF182QZF/		ENCBS976RBP,ENCBS807VSF	1,2	1		Mus musculus	unknown	14 days												/replicates/74c6ec94-a957-4cd7-9d73-fb670baaa7fa/,/replicates/ec2dcfb3-dcba-4c19-b6cc-93b79951f627/				
/experiments/ENCSR026WRM/	ENCSR026WRM	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J layer of hippocampus tissue male (14 days)	layer of hippocampus		ENC4_415, ENC4_416 hippocampus_B6CastF1_PND14_3x male_7,8,9_ENC4_cDNA499	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF018SKD/,/files/ENCFF402OZL/,/files/ENCFF181UGB/,/files/ENCFF182ZKL/,/files/ENCFF587QKV/,/files/ENCFF574LQO/,/files/ENCFF655BWX/,/files/ENCFF153WGA/,/files/ENCFF110RMH/,/files/ENCFF057WDB/,/files/ENCFF753VCG/,/files/ENCFF964QFG/		ENCBS299AJA,ENCBS642ONZ	2,1	1		Mus musculus	unknown	14 days												/replicates/331f0537-d7d1-4beb-9808-846765d2d6ac/,/replicates/66ca1348-82f8-47b9-b8fe-ad1bc5940f2a/				
/experiments/ENCSR146ZFC/	ENCSR146ZFC	long read RNA-seq	long read RNA-seq				Mus musculus strain B6CASTF1/J layer of hippocampus tissue female (14 days)	layer of hippocampus		ENC4_413, ENC4_414 hippocampus_B6CastF1_PND14_3x female_4,5,6_ENC4_cDNA497	Ali Mortazavi, UCI	ENCODE	released	/files/ENCFF164GLG/,/files/ENCFF518QIV/,/files/ENCFF982CWF/,/files/ENCFF809BZD/,/files/ENCFF609FJG/,/files/ENCFF655JBV/,/files/ENCFF834PLA/,/files/ENCFF965DIE/,/files/ENCFF511POB/,/files/ENCFF083NGA/,/files/ENCFF336WYK/,/files/ENCFF176XZM/		ENCBS229LCL,ENCBS708FHL	1,2	1		Mus musculus	unknown	14 days												/replicates/8f998939-55ee-4a68-ad5c-dac85cd43919/,/replicates/7532d320-13ce-4b42-a8df-0493b4a6ec23/				
