File accession	classification	hr	sample
ENCFF026RBK	cell_line	activated_cd4_positive_alpha_beta_t_cell_2_1	activated_cd4_positive_alpha_beta_t_cell
ENCFF785OAV	cell_line	cd4_positive_alpha_beta_t_cell_1_1	cd4_positive_alpha_beta_t_cell
ENCFF307CQG	cell_line	activated_cd8_positive_alpha_beta_memory_t_cell_3_1	activated_cd8_positive_alpha_beta_memory_t_cell
ENCFF594PJE	cell_line	cd8_positive_alpha_beta_memory_t_cell_1_1	cd8_positive_alpha_beta_memory_t_cell
ENCFF768JVA	cell_line	naive_thymus_derived_cd4_positive_alpha_beta_t_cell_2_1	naive_thymus_derived_cd4_positive_alpha_beta_t_cell
ENCFF606WIM	cell_line	activated_cd4_positive_alpha_beta_memory_t_cell_4_1	activated_cd4_positive_alpha_beta_memory_t_cell
ENCFF118MYS	cell_line	naive_thymus_derived_cd8_positive_alpha_beta_t_cell_2_1	naive_thymus_derived_cd8_positive_alpha_beta_t_cell
ENCFF980YEK	cell_line	activated_cd8_positive_alpha_beta_memory_t_cell_2_1	activated_cd8_positive_alpha_beta_memory_t_cell
ENCFF994LBK	cell_line	cd4_positive_alpha_beta_memory_t_cell_2_1	cd4_positive_alpha_beta_memory_t_cell
ENCFF268MYA	cell_line	stimulated_activated_cd4_positive_alpha_beta_t_cell_2_1	stimulated_activated_cd4_positive_alpha_beta_t_cell
ENCFF222WFS	cell_line	cd8_positive_alpha_beta_memory_t_cell_2_1	cd8_positive_alpha_beta_memory_t_cell
ENCFF989OGW	cell_line	stimulated_activated_cd8_positive_alpha_beta_t_cell_2_1	stimulated_activated_cd8_positive_alpha_beta_t_cell
ENCFF998GQD	cell_line	activated_cd4_positive_alpha_beta_memory_t_cell_3_1	activated_cd4_positive_alpha_beta_memory_t_cell
ENCFF049ZXW	cell_line	cd4_positive_alpha_beta_memory_t_cell_1_1	cd4_positive_alpha_beta_memory_t_cell
ENCFF127XUK	cell_line	activated_cd4_positive_alpha_beta_memory_t_cell_2_1	activated_cd4_positive_alpha_beta_memory_t_cell
ENCFF784PZE	cell_line	stimulated_activated_cd4_positive_alpha_beta_t_cell_1_1	stimulated_activated_cd4_positive_alpha_beta_t_cell
ENCFF666YEO	cell_line	activated_naive_cd8_positive_alpha_beta_t_cell_4_1	activated_naive_cd8_positive_alpha_beta_t_cell
ENCFF846SOK	tissue	liver_2_1	liver
ENCFF780YUS	tissue	liver_2_2	liver
ENCFF675DVW	tissue	lung_1_1	lung
ENCFF678NWU	tissue	lung_1_2	lung
ENCFF181TFL	tissue	heart_1_1	heart
ENCFF589BBG	tissue	heart_1_2	heart
ENCFF849GOI	tissue	metanephros_1_1	metanephros
ENCFF042PDK	tissue	metanephros_1_2	metanephros
ENCFF057WTO	cell_line	smooth_muscle_cell_of_the_pulmonary_artery_1_1	smooth_muscle_cell_of_the_pulmonary_artery
ENCFF717IUE	cell_line	smooth_muscle_cell_of_the_pulmonary_artery_1_2	smooth_muscle_cell_of_the_pulmonary_artery
ENCFF605EAB	cell_line	bronchial_epithelial_cell_1_1	bronchial_epithelial_cell
ENCFF903VZB	cell_line	bronchial_epithelial_cell_1_2	bronchial_epithelial_cell
ENCFF472HFI	cell_line	k562_3_1	k562
ENCFF628SMT	cell_line	k562_3_2	k562
ENCFF549QYX	tissue	heart_2_1	heart
ENCFF235JKT	cell_line	pulmonary_artery_endothelial_cell_1_1	pulmonary_artery_endothelial_cell
ENCFF546LII	cell_line	pulmonary_artery_endothelial_cell_1_2	pulmonary_artery_endothelial_cell
ENCFF941CAT	tissue	urinary_bladder_1_1	urinary_bladder
ENCFF516WWE	tissue	urinary_bladder_1_2	urinary_bladder
ENCFF953GWT	cell_line	lung_microvascular_endothelial_cell_1_1	lung_microvascular_endothelial_cell
ENCFF506QCN	cell_line	lung_microvascular_endothelial_cell_1_2	lung_microvascular_endothelial_cell
ENCFF480HNH	cell_line	gm12878_8_1	gm12878
ENCFF978HIY	cell_line	gm12878_8_2	gm12878
ENCFF980VIH	tissue	uterus_1_1	uterus
ENCFF326EAR	tissue	uterus_1_2	uterus
ENCFF136UBW	cell_line	k562_1_1	k562
ENCFF171FQU	cell_line	k562_1_2	k562
ENCFF856QGB	cell_line	activated_cd8_positive_alpha_beta_memory_t_cell_1_1	activated_cd8_positive_alpha_beta_memory_t_cell
ENCFF677IBW	cell_line	cd8_positive_alpha_beta_t_cell_2_1	cd8_positive_alpha_beta_t_cell
ENCFF884MLJ	cell_line	activated_naive_cd4_positive_alpha_beta_t_cell_4_1	activated_naive_cd4_positive_alpha_beta_t_cell
ENCFF769IPE	tissue	lung_2_1	lung
ENCFF758GXN	cell_line	wtc11_2_1	wtc11
ENCFF860GKX	cell_line	wtc11_2_2	wtc11
ENCFF501GNN	cell_line	wtc11_2_3	wtc11
ENCFF710IFD	cell_line	panc1_1_1	panc1
ENCFF186ITS	cell_line	naive_thymus_derived_cd4_positive_alpha_beta_t_cell_1_1	naive_thymus_derived_cd4_positive_alpha_beta_t_cell
ENCFF599HQU	cell_line	h9_de_1_1	h9_de
ENCFF643LBM	cell_line	h9_de_1_2	h9_de
ENCFF435PHM	cell_line	hct116_1_1	hct116
ENCFF629LFN	tissue	psoas_muscle_2_1	psoas_muscle
ENCFF395XDK	cell_line	h1_1_1	h1
ENCFF147QBI	tissue	camera_type_eye_1_1	camera_type_eye
ENCFF433TYY	tissue	camera_type_eye_1_2	camera_type_eye
ENCFF852WKI	tissue	lower_lobe_of_left_lung_1_1	lower_lobe_of_left_lung
ENCFF910XWA	cell_line	gm12878_1_1	gm12878
ENCFF413MYB	cell_line	gm12878_1_2	gm12878
ENCFF108HZC	tissue	umbilical_cord_1_1	umbilical_cord
ENCFF990JEO	tissue	umbilical_cord_1_2	umbilical_cord
ENCFF062KDX	tissue	placenta_9_1	placenta
ENCFF764ITI	tissue	pancreas_3_1	pancreas
ENCFF141OXD	tissue	mesenteric_fat_pad_1_1	mesenteric_fat_pad
ENCFF568EVC	tissue	aorta_2_1	aorta
ENCFF169BHZ	cell_line	smooth_muscle_cell_of_the_umbilical_artery_1_1	smooth_muscle_cell_of_the_umbilical_artery
ENCFF737ASX	cell_line	smooth_muscle_cell_of_the_umbilical_artery_1_2	smooth_muscle_cell_of_the_umbilical_artery
ENCFF890XTW	tissue	spleen_5_1	spleen
ENCFF388LFO	cell_line	epithelial_cell_of_umbilical_artery_1_1	epithelial_cell_of_umbilical_artery
ENCFF205QSH	cell_line	epithelial_cell_of_umbilical_artery_1_2	epithelial_cell_of_umbilical_artery
ENCFF973CPC	cell_line	activated_t_cell_1_1	activated_t_cell
ENCFF617JTM	cell_line	pc3_2_1	pc3
ENCFF421TJX	cell_line	k562_5_1	k562
ENCFF154PPT	cell_line	hffc6_1_1	hffc6
ENCFF416ZRK	cell_line	hffc6_1_2	hffc6
ENCFF758JPT	cell_line	hffc6_1_3	hffc6
ENCFF093ECT	cell_line	hffc6_1_4	hffc6
ENCFF625OLD	cell_line	hffc6_1_5	hffc6
ENCFF606LVM	cell_line	hffc6_1_6	hffc6
ENCFF178KKE	cell_line	wtc11_1_1	wtc11
ENCFF223XWE	cell_line	wtc11_1_2	wtc11
ENCFF278NVU	cell_line	wtc11_1_3	wtc11
ENCFF489OCT	cell_line	activated_naive_cd4_positive_alpha_beta_t_cell_1_1	activated_naive_cd4_positive_alpha_beta_t_cell
ENCFF866KGD	cell_line	activated_naive_cd4_positive_alpha_beta_t_cell_2_1	activated_naive_cd4_positive_alpha_beta_t_cell
ENCFF619BUB	cell_line	a673_1_1	a673
ENCFF908DWD	cell_line	a673_1_2	a673
ENCFF530KIE	tissue	spleen_8_1	spleen
ENCFF261VFJ	tissue	peyer's_patch_1_1	peyer's_patch
ENCFF458MLB	tissue	vagina_1_1	vagina
ENCFF976LMJ	tissue	thoracic_aorta_2_1	thoracic_aorta
ENCFF330FDU	tissue	thyroid_gland_4_1	thyroid_gland
ENCFF557IQC	tissue	thyroid_gland_4_2	thyroid_gland
ENCFF143INW	tissue	spleen_2_1	spleen
ENCFF651KGY	tissue	left_ventricle_myocardium_superior_1_1	left_ventricle_myocardium_superior
ENCFF228JXX	tissue	lower_lobe_of_left_lung_2_1	lower_lobe_of_left_lung
ENCFF022DRF	tissue	spleen_1_1	spleen
ENCFF454MTF	cell_line	huvec_1_1	huvec
ENCFF134FYP	cell_line	huvec_1_2	huvec
ENCFF316JPH	cell_line	activated_cd4_positive_alpha_beta_t_cell_1_1	activated_cd4_positive_alpha_beta_t_cell
ENCFF954SRP	cell_line	cd4_positive_alpha_beta_t_cell_2_1	cd4_positive_alpha_beta_t_cell
ENCFF613RIH	cell_line	activated_naive_cd8_positive_alpha_beta_t_cell_2_1	activated_naive_cd8_positive_alpha_beta_t_cell
ENCFF439GEM	cell_line	activated_cd4_positive_alpha_beta_memory_t_cell_1_1	activated_cd4_positive_alpha_beta_memory_t_cell
ENCFF374RPI	cell_line	tracheal_epithelial_cell_1_1	tracheal_epithelial_cell
ENCFF364FZI	cell_line	tracheal_epithelial_cell_1_2	tracheal_epithelial_cell
ENCFF864MBB	tissue	spinal_cord_1_1	spinal_cord
ENCFF577LMK	tissue	spinal_cord_1_2	spinal_cord
ENCFF073QIN	cell_line	myocyte_1_1	myocyte
ENCFF869MFP	cell_line	myocyte_1_2	myocyte
ENCFF544IKF	cell_line	activated_naive_cd8_positive_alpha_beta_t_cell_3_1	activated_naive_cd8_positive_alpha_beta_t_cell
ENCFF745LWF	cell_line	activated_cd8_positive_alpha_beta_t_cell_1_1	activated_cd8_positive_alpha_beta_t_cell
ENCFF494PJN	cell_line	cd8_positive_alpha_beta_t_cell_1_1	cd8_positive_alpha_beta_t_cell
ENCFF292FVY	cell_line	hmec_1_1	hmec
ENCFF219EZH	cell_line	hmec_1_2	hmec
ENCFF633VFS	cell_line	pc9_1_1	pc9
ENCFF877GJA	cell_line	pc9_1_2	pc9
ENCFF805HLI	cell_line	aortic_smooth_muscle_cell_1_1	aortic_smooth_muscle_cell
ENCFF804KXP	cell_line	aortic_smooth_muscle_cell_1_2	aortic_smooth_muscle_cell
ENCFF965OJQ	tissue	tongue_1_1	tongue
ENCFF755TBK	tissue	tongue_1_2	tongue
ENCFF705DBY	cell_line	activated_naive_cd4_positive_alpha_beta_t_cell_3_1	activated_naive_cd4_positive_alpha_beta_t_cell
ENCFF553SMR	cell_line	activated_cd8_positive_alpha_beta_memory_t_cell_4_1	activated_cd8_positive_alpha_beta_memory_t_cell
ENCFF316BTV	tissue	subcutaneous_adipose_tissue_1_1	subcutaneous_adipose_tissue
ENCFF963NVW	tissue	stomach_1_1	stomach
ENCFF607LUW	tissue	stomach_1_2	stomach
ENCFF526TMF	cell_line	hepatocyte_2_1	hepatocyte
ENCFF807ORH	cell_line	hepatocyte_2_2	hepatocyte
ENCFF089THE	cell_line	bronchus_fibroblast_of_lung_1_1	bronchus_fibroblast_of_lung
ENCFF716LRF	cell_line	bronchus_fibroblast_of_lung_1_2	bronchus_fibroblast_of_lung
ENCFF307TBV	cell_line	neural_cell_1_1	neural_cell
ENCFF552LNN	cell_line	neural_cell_1_2	neural_cell
ENCFF673ONF	cell_line	ht1080_1_1	ht1080
ENCFF149ZZO	cell_line	ht1080_1_2	ht1080
ENCFF841RJD	cell_line	mesangial_cell_1_1	mesangial_cell
ENCFF780XPP	cell_line	mesangial_cell_1_2	mesangial_cell
ENCFF760SNF	cell_line	stimulated_activated_cd8_positive_alpha_beta_t_cell_1_1	stimulated_activated_cd8_positive_alpha_beta_t_cell
ENCFF554FCJ	cell_line	activated_cd8_positive_alpha_beta_t_cell_2_1	activated_cd8_positive_alpha_beta_t_cell
ENCFF188GCO	cell_line	naive_thymus_derived_cd8_positive_alpha_beta_t_cell_1_1	naive_thymus_derived_cd8_positive_alpha_beta_t_cell
ENCFF687XPH	cell_line	activated_naive_cd8_positive_alpha_beta_t_cell_1_1	activated_naive_cd8_positive_alpha_beta_t_cell
ENCFF351WTM	cell_line	pericardium_fibroblast_1_1	pericardium_fibroblast
ENCFF187EMD	cell_line	pericardium_fibroblast_1_2	pericardium_fibroblast
ENCFF102TBO	cell_line	pgp1_astro_2_1	pgp1_astro
ENCFF026WTQ	cell_line	pgp1_astro_2_2	pgp1_astro
ENCFF962YZV	cell_line	dermis_lymphatic_vessel_endothelial_cell_1_1	dermis_lymphatic_vessel_endothelial_cell
ENCFF885OKS	cell_line	dermis_lymphatic_vessel_endothelial_cell_1_2	dermis_lymphatic_vessel_endothelial_cell
ENCFF477OQB	cell_line	gm12878_3_1	gm12878
ENCFF170TZG	cell_line	gm12878_3_2	gm12878
ENCFF246JXP	cell_line	dermis_microvascular_lymphatic_vessel_endothelial_cell_1_1	dermis_microvascular_lymphatic_vessel_endothelial_cell
ENCFF692WHC	cell_line	dermis_microvascular_lymphatic_vessel_endothelial_cell_1_2	dermis_microvascular_lymphatic_vessel_endothelial_cell
ENCFF286WMJ	cell_line	epithelial_cell_of_alveolus_of_lung_1_1	epithelial_cell_of_alveolus_of_lung
ENCFF554BFG	cell_line	epithelial_cell_of_alveolus_of_lung_1_2	epithelial_cell_of_alveolus_of_lung
ENCFF379BKF	cell_line	kidney_epithelial_cell_1_1	kidney_epithelial_cell
ENCFF902MQF	cell_line	kidney_epithelial_cell_1_2	kidney_epithelial_cell
ENCFF859YFW	tissue	liver_1_1	liver
ENCFF960OCQ	tissue	liver_1_2	liver
ENCFF654VNY	tissue	occipital_lobe_1_1	occipital_lobe
ENCFF476ZSX	tissue	occipital_lobe_1_2	occipital_lobe
ENCFF716CWC	cell_line	cardiac_atrium_fibroblast_1_1	cardiac_atrium_fibroblast
ENCFF388QEH	cell_line	cardiac_atrium_fibroblast_1_2	cardiac_atrium_fibroblast
ENCFF118WDU	tissue	subcutaneous_adipose_tissue_3_1	subcutaneous_adipose_tissue
ENCFF335HSJ	cell_line	bronchial_smooth_muscle_cell_1_1	bronchial_smooth_muscle_cell
ENCFF917PRB	cell_line	bronchial_smooth_muscle_cell_1_2	bronchial_smooth_muscle_cell
ENCFF884ZHJ	tissue	gastroesophageal_sphincter_2_1	gastroesophageal_sphincter
ENCFF856KIP	tissue	mucosa_of_descending_colon_1_1	mucosa_of_descending_colon
ENCFF995WUI	cell_line	smooth_muscle_cell_of_the_coronary_artery_1_1	smooth_muscle_cell_of_the_coronary_artery
ENCFF977FLH	cell_line	smooth_muscle_cell_of_the_coronary_artery_1_2	smooth_muscle_cell_of_the_coronary_artery
ENCFF202XCC	cell_line	regular_cardiac_myocyte_1_1	regular_cardiac_myocyte
ENCFF215HIL	cell_line	regular_cardiac_myocyte_1_2	regular_cardiac_myocyte
ENCFF103JDQ	tissue	upper_lobe_of_right_lung_1_1	upper_lobe_of_right_lung
ENCFF111ORO	cell_line	h9_panc_progen_1_1	h9_panc_progen
ENCFF411UJX	cell_line	h9_panc_progen_1_2	h9_panc_progen
ENCFF850OBS	tissue	right_lobe_of_liver_5_1	right_lobe_of_liver
ENCFF619LYC	cell_line	cardiac_muscle_cell_1_1	cardiac_muscle_cell
ENCFF137JZM	cell_line	cardiac_muscle_cell_1_2	cardiac_muscle_cell
ENCFF016HGS	tissue	thyroid_gland_3_1	thyroid_gland
ENCFF283HWB	tissue	uterus_2_1	uterus
ENCFF288NWG	tissue	pancreas_5_1	pancreas
ENCFF871JUN	cell_line	h9_osteocyte_1_1	h9_osteocyte
ENCFF651MIF	cell_line	h9_osteocyte_1_2	h9_osteocyte
ENCFF588SVT	cell_line	hffc6_4_1	hffc6
ENCFF410GKZ	cell_line	hffc6_4_2	hffc6
ENCFF300IHP	cell_line	hffc6_4_3	hffc6
ENCFF263XKP	cell_line	hffc6_4_4	hffc6
ENCFF429NOU	cell_line	hffc6_4_5	hffc6
ENCFF892DOQ	cell_line	hffc6_4_6	hffc6
ENCFF898SUY	cell_line	mesothelial_cell_of_epicardium_1_1	mesothelial_cell_of_epicardium
ENCFF860KFR	cell_line	mesothelial_cell_of_epicardium_1_2	mesothelial_cell_of_epicardium
ENCFF684KUY	cell_line	mesothelial_cell_of_epicardium_1_3	mesothelial_cell_of_epicardium
ENCFF694CZM	tissue	placenta_3_1	placenta
ENCFF604YLU	tissue	spleen_3_1	spleen
ENCFF345SHY	cell_line	gm12878_6_1	gm12878
ENCFF873VWU	cell_line	gm12878_6_2	gm12878
ENCFF463WWB	tissue	peyer's_patch_4_1	peyer's_patch
ENCFF738PEX	cell_line	myometrial_cell_1_1	myometrial_cell
ENCFF453YUP	cell_line	myometrial_cell_1_2	myometrial_cell
ENCFF106SZG	cell_line	pgp1_3_1	pgp1
ENCFF730OTJ	cell_line	pgp1_3_2	pgp1
ENCFF545DTG	cell_line	gm23248_2_1	gm23248
ENCFF115XWZ	cell_line	gm23248_2_2	gm23248
ENCFF325ZLI	tissue	skeletal_muscle_tissue_1_1	skeletal_muscle_tissue
ENCFF052WIM	tissue	skeletal_muscle_tissue_1_2	skeletal_muscle_tissue
ENCFF222LEJ	tissue	skin_of_body_1_1	skin_of_body
ENCFF254IMN	tissue	skin_of_body_1_2	skin_of_body
ENCFF508KLW	tissue	parietal_lobe_1_1	parietal_lobe
ENCFF995QDC	tissue	parietal_lobe_1_2	parietal_lobe
ENCFF410JLK	cell_line	glomerular_endothelial_cell_1_1	glomerular_endothelial_cell
ENCFF967BQL	cell_line	glomerular_endothelial_cell_1_2	glomerular_endothelial_cell
ENCFF091LWO	cell_line	gm23248_1_1	gm23248
ENCFF484OLK	cell_line	gm23248_1_2	gm23248
ENCFF791MED	cell_line	gm12878_2_1	gm12878
ENCFF473KMX	cell_line	gm12878_2_2	gm12878
ENCFF005FVC	tissue	esophagus_squamous_epithelium_1_1	esophagus_squamous_epithelium
ENCFF742CVV	cell_line	k562_2_1	k562
ENCFF222UVT	cell_line	k562_2_2	k562
ENCFF065FRH	cell_line	hair_follicular_keratinocyte_1_1	hair_follicular_keratinocyte
ENCFF934COC	cell_line	hair_follicular_keratinocyte_1_2	hair_follicular_keratinocyte
ENCFF952MIY	cell_line	fibroblast_of_lung_1_1	fibroblast_of_lung
ENCFF532XCI	cell_line	fibroblast_of_lung_1_2	fibroblast_of_lung
ENCFF852GKK	tissue	lower_leg_skin_1_1	lower_leg_skin
ENCFF546CZN	tissue	cerebellum_1_1	cerebellum
ENCFF668ZPO	tissue	cerebellum_1_2	cerebellum
ENCFF203EQV	cell_line	endothelial_cell_of_coronary_artery_1_1	endothelial_cell_of_coronary_artery
ENCFF612XKH	cell_line	endothelial_cell_of_coronary_artery_1_2	endothelial_cell_of_coronary_artery
ENCFF766VIZ	tissue	lower_leg_skin_2_1	lower_leg_skin
ENCFF660ZOT	tissue	peyer's_patch_3_1	peyer's_patch
ENCFF931XZE	tissue	frontal_cortex_1_1	frontal_cortex
ENCFF034QWK	tissue	frontal_cortex_1_2	frontal_cortex
ENCFF683JSC	tissue	stomach_2_1	stomach
